Season,TeamA,TeamB,Target,Split,WinPct_diff,AvgScore_diff,AvgOppScore_diff,TotalScore_diff,TrueMarginAvg_diff,ScoreVariance_diff,OTRate_diff,AvgOT_diff,MultiOTRate_diff,CloseWinPct_diff,CloseGamesCount_diff,NetRtg_diff,eFG_diff,TOVpct_diff,ORBpct_diff,FTr_vs_OppAllowed_diff,StlPct_diff,BlkPct_diff,WinPct_last7_diff,WinPct_last10_diff,WinPct_last14_diff,WinPct_last21_diff,Margin_last7_diff,Margin_last10_diff,Margin_last14_diff,Margin_last21_diff,DaysSinceLastGame_diff,GamesLast7Days_diff,GamesLast14Days_diff,B2B_Last14Days_diff,SeedNum_diff,ConfStrength_diff,ConfWinPct_diff,ConfTeamCount_diff,ConfBidCount_diff,ConfTourneyGamesPlayed_diff,ConfTourneyWinPct_diff,ConfTourneyChampion_diff,DaysSinceConfFinal_diff,Heavy_Favorite,Toss_Up,TeamA_Is_Favorite,TeamA_Is_Underdog,TeamA_Seed_Top4,TeamA_Seed_Mid,TeamA_Seed_Low,TeamA_Is_11_12_vs_5_6,TeamA_Is_5_6_vs_11_12,Round_Num,Is_FirstWeekend,Is_SecondWeekend,Is_FinalWeekend
2014,3333,3376,0,Train,-0.18346774193548387,-2.9435483870967687,6.496975806451616,3.553427419354847,-9.047741935483872,-3.4512337390041896,-0.03225806451612903,-0.03225806451612903,-0.0,-0.26136363636363635,3,-14.361751323869399,-0.013452022563453458,0.016881990926581908,-0.013709695137938294,-0.23996907735844428,-0.013846097706918567,-0.01686025870715646,0.1428571428571429,0.09999999999999998,0.07142857142857151,-0.1428571428571428,3.8957142857142895,0.4809999999999981,-0.06571428571428761,-5.467142857142856,-0.0,0,0,2,8.0,-6.023399526199961,-0.06378817584290242,-2,-3.0,1.0,0.16666666666666663,0,-1.0,0,0,0,1,0,1,0,0,0,3,0,1,0
2021,3439,3124,0,Train,-0.31723027375201285,-8.41867954911433,10.605475040257645,2.1867954911433287,-20.343623188405793,-7.09334486981915,0.043478260869565216,0.043478260869565216,-0.0,0.0444444444444444,4,-24.416529479596143,-0.0004646005119982588,-0.013089074274522966,-0.19610706753037593,-0.04058461570312515,-0.06207380593899119,-0.00868718121047915,-0.1428571428571429,-0.30000000000000004,-0.4285714285714286,-0.33333333333333326,-13.324285714285713,-16.773,-17.909285714285716,-20.675714285714285,-0.0,-1,-1,-3,5.0,2.3239003796787863,0.02193600225119241,5,3.0,-1.0,-0.5,-1,9.0,0,0,0,1,0,1,0,0,0,2,1,0,0
2019,3333,3211,1,Train,-0.10080645161290325,2.2157258064516157,1.859879032258064,4.0756048387096655,-0.5856754032258067,6.900848381434312,0.03326612903225806,0.06653225806451613,0.03326612903225806,0.04166666666666663,4,0.13372525849027284,0.05613100870570775,-0.005449937710025166,-0.036371979378631014,0.018390235079443568,-0.08026655876840674,0.0053663881870638225,-0.1428571428571428,-0.20000000000000007,-0.1428571428571428,-0.1428571428571429,-9.687142857142856,-13.273000000000003,-8.337857142857144,-8.259999999999998,4.0,0,0,1,-1.0,8.589543858301978,0.08365987795214702,2,4.0,-1.0,-0.5,0,4.0,0,1,1,0,1,0,0,0,0,3,0,1,0
2018,3333,3443,1,Train,0.02473118279569897,-1.884946236559145,-4.772043010752682,-6.656989247311827,1.5624193548387098,6.558794972223124,0.06774193548387097,0.06774193548387097,0.0,0.23636363636363633,1,4.21542372148161,0.08618173341726793,0.04857247471168774,-0.0619760371975806,-0.05376812889656034,-0.08913627091536346,0.03419640259968637,0.2857142857142857,0.20000000000000007,0.0714285714285714,0.04761904761904767,1.7763568394002505e-15,1.6460000000000008,-3.4614285714285717,-2.9961904761904776,4.0,-1,-1,0,-5.0,6.026689205279395,0.07382562001025478,-2,5.0,-2.0,-1.0,-1,8.0,0,0,1,0,0,1,0,0,1,1,1,0,0
2016,3326,3452,1,Train,0.04692082111436946,16.52590420332355,16.81329423264907,33.339198435972634,0.026275659824047892,0.9552491456608116,0.03421309872922776,0.09872922776148582,0.03225806451612903,-0.08333333333333331,2,-1.4048536649388552,0.050283015897612526,-0.047710631809464304,-0.07521530197679316,0.03227338995184892,-0.012458889695415865,-0.02750660735439505,0.0,0.0,0.1428571428571428,0.1428571428571428,10.065714285714288,5.745999999999999,4.032857142857145,2.9652380952380923,0.0,-1,0,0,-3.0,-0.9046319329545405,-0.03385936088080632,4,-1.0,0.0,0.0,0,1.0,0,1,1,0,1,0,0,0,0,2,1,0,0
2011,3326,3397,0,Train,-0.26875000000000004,-6.145833333333329,10.779166666666669,4.633333333333326,-16.0655,-1.531180742795943,-0.03125,-0.03125,-0.0,-0.26666666666666666,1,-24.13341684060737,-0.029581776054798947,-0.00714669591065295,-0.129322931419798,-0.012926045214510296,-0.0198248935557008,-0.006274024847528356,-0.0,-0.19999999999999996,-0.2142857142857143,-0.38095238095238093,-5.4399999999999995,-8.280999999999999,-9.110000000000001,-18.254761904761903,-0.0,0,-1,0,3.0,0.8585351376367267,-0.0037713159723726797,-1,1.0,-0.0,-0.0,0,-0.0,0,1,0,1,1,0,0,0,0,3,0,1,0
2018,3301,3268,1,Train,-0.03125,-13.34375,-6.65625,-20.0,-7.224687499999998,-11.28623527239709,0.0,0.0,0.0,-0.12698412698412698,2,-8.233865331884681,-0.05412702154581667,0.015984612689587674,-0.036164259395718934,0.05571690006203016,-0.037327841139883994,0.005288487209239225,0.1428571428571429,0.10000000000000009,0.1428571428571428,-0.04761904761904767,4.0,2.153999999999998,3.8571428571428577,-7.857142857142858,0.0,1,1,0,-1.0,2.200853108440648,0.02188738483211916,1,2.0,0.0,0.0,0,1.0,0,1,1,0,1,0,0,0,0,2,1,0,0
2017,3163,3393,1,Train,0.32258064516129037,7.657258064516128,-12.800403225806448,-5.1431451612903345,20.838891129032255,-3.7387356118353363,0.0,0.0,0.0,0.0,-6,30.132928387331745,0.12195582782521519,-0.002109465676264799,-0.01707821675262583,0.14572442799379445,-0.0028557715743684764,0.01244042073163313,0.2857142857142857,0.19999999999999996,0.2857142857142857,0.2857142857142857,13.79142857142857,16.053999999999995,22.82428571428571,23.87904761904762,0.0,0,1,2,-7.0,-9.44653431260884,-0.09520624042417047,-4,-4.0,1.0,0.5,1,-3.0,0,0,1,0,1,0,0,0,0,3,0,1,0
2016,3246,3421,1,Train,-0.033333333333333326,6.833333333333329,2.2333333333333343,9.066666666666663,4.026999999999999,5.882921449185153,-0.03333333333333333,-0.06666666666666668,-0.03333333333333333,-0.2142857142857143,-2,4.496338339822207,0.03143243337575552,0.007799335864005191,-0.020552167053995374,-0.11777438781967327,-0.001703757707839662,0.012418821065993235,0.2857142857142857,0.0,-0.1428571428571428,-0.04761904761904756,9.054285714285713,5.084000000000002,-0.005714285714285339,2.164761904761904,0.0,1,1,0,-11.0,14.702640364087408,0.19281260267355932,3,8.0,0.0,-0.33333333333333337,-1,8.0,1,0,1,0,1,0,0,0,0,2,1,0,0
2021,3401,3235,1,Train,0.3046153846153846,-1.5707692307692298,-10.127692307692307,-11.698461538461544,8.089707692307693,3.243120161070678,0.0015384615384615372,0.0015384615384615372,0.0,0.3333333333333333,-3,12.473441168501584,0.0052666734475026455,0.019077549801572946,0.054856854480349604,0.14133327035336019,0.04171333384940726,0.0012190281982971118,0.2857142857142857,0.4,0.2857142857142857,0.2857142857142857,-0.39000000000000234,4.327,6.623571428571427,9.29857142857143,-8.0,2,3,0,-5.0,1.8639570091086286,0.018104073298679135,4,2.0,1.0,0.5,0,6.0,0,0,1,0,1,0,0,0,0,3,0,1,0
